riskId,supplierVendorCode,riskType,riskScore,riskDescription,mitigationPlan,riskStatus
RISK-f6f6ce22,SUP-add26498,Country Risk,0.0,Country Risk for supplier SUP-add26498 is 0.,Conduct regular country risk assessments to ensure compliance with regulatory requirements and mitigate potential disruptions.,Active
RISK-29d62793,SUP-add26498,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-add26498 is 0.,"Diversify suppliers to reduce dependency on single sources, enhancing resilience and minimizing operational disruptions.",Active
RISK-c0454fdd,SUP-add26498,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-add26498 is 0.,Conduct quarterly financial health assessments and diversify suppliers to reduce dependency on any single provider.,Active
RISK-706c8dfb,SUP-add26498,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-add26498 is 0.,"Implement multi-tiered review processes to monitor suppliers with high spend concentration risks, ensuring diversified sourcing strategies.",Active
RISK-b359d9c0,SUP-e1932154,Country Risk,15.0,Country Risk for supplier SUP-e1932154 is 15.,Diversify supply base to mitigate country risk exposure.,Active
RISK-bfb39bd5,SUP-e1932154,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-e1932154 is 0.,Implement dual sourcing agreements to reduce reliance on single suppliers and enhance supply chain resilience.,Active
RISK-70b9f184,SUP-e1932154,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-e1932154 is 0.,Develop a contingency plan.,Active
RISK-f6962707,SUP-e1932154,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-e1932154 is 0.,Implement tiered approval processes and quarterly spend reviews to reduce concentration risk.,Active
RISK-9c09a516,SUP-3d70987a,Country Risk,0.0,Country Risk for supplier SUP-3d70987a is 0.,Conduct regular reviews of the country's regulatory environment to ensure compliance.,Active
RISK-47802344,SUP-3d70987a,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-3d70987a is 0.,Implement a multi-source procurement strategy to reduce reliance on any single supplier.,Active
RISK-53a53312,SUP-3d70987a,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-3d70987a is 0.,Conduct quarterly financial health assessments and maintain diversified supply chain.,Active
RISK-5b279483,SUP-3d70987a,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-3d70987a is 0.,Implement tiered spend limits and conduct quarterly audits to ensure compliance with contractual obligations and maintain financial stability.,Active
RISK-6c5e1603,SUP-6f8fecde,Country Risk,15.0,Country Risk for supplier SUP-6f8fecde is 15.,Conduct thorough due diligence on suppliers located in high-risk countries to ensure compliance with ethical standards and legal requirements.,Active
RISK-a0ab2b20,SUP-6f8fecde,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6f8fecde is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-82f6170e,SUP-6f8fecde,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-6f8fecde is 0.,Develop a contingency plan.,Active
RISK-c89f4d51,SUP-6f8fecde,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6f8fecde is 0.,Implement stricter spending limits and enhance due diligence processes to reduce spend concentration risks.,Active
RISK-b6a67ec0,SUP-e375f7d8,Country Risk,15.0,Country Risk for supplier SUP-e375f7d8 is 15.,Enhance local regulatory compliance checks and diversify supply chain geographically to mitigate risks associated with the country risk score of 15.,Active
RISK-14a2829f,SUP-e375f7d8,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-e375f7d8 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-024fd6ac,SUP-e375f7d8,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-e375f7d8 is 0.,Conduct regular financial health assessments on the supplier to ensure stable cash flow and solvency before entering contracts.,Active
RISK-6d9edb33,SUP-e375f7d8,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-e375f7d8 is 0.,Diversify suppliers to reduce reliance on single sources,Active
RISK-13e3b409,SUP-9c5a4c8e,Country Risk,15.0,Country Risk for supplier SUP-9c5a4c8e is 15.,Conduct thorough due diligence on local regulations to ensure compliance and minimize operational risks in the high-risk country.,Active
RISK-9a960c46,SUP-9c5a4c8e,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9c5a4c8e is 0.,Diversify sourcing to reduce dependency on single suppliers.,Active
RISK-04b2adf4,SUP-9c5a4c8e,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-9c5a4c8e is 10.,Conduct quarterly financial health assessments and diversify supply chain to mitigate the high financial health risk (score 10) from this supplier.,Active
RISK-1487a2e2,SUP-9c5a4c8e,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9c5a4c8e is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-e0306367,SUP-f7c4a28b,Country Risk,0.0,Country Risk for supplier SUP-f7c4a28b is 0.,Conduct regular market analysis to ensure compliance with local regulations and mitigate any potential country risks.,Active
RISK-c194a8b3,SUP-f7c4a28b,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f7c4a28b is 0.,Diversify suppliers to reduce dependency on a single source.,Active
RISK-d294104e,SUP-f7c4a28b,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f7c4a28b is 0.,Regularly review the supplier's financial statements and credit ratings to ensure ongoing solvency and compliance with payment terms.,Active
RISK-254473fc,SUP-f7c4a28b,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f7c4a28b is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-7390dbd0,SUP-45b5a699,Country Risk,15.0,Country Risk for supplier SUP-45b5a699 is 15.,"Implement robust due diligence procedures, including regular audits and compliance checks, to ensure suppliers adhere to local regulations and ethical standards in the high-risk country.",Active
RISK-d1e756a4,SUP-45b5a699,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-45b5a699 is 0.,"Diversify suppliers to reduce dependency on single sources, ensuring continued supply even if one source experiences issues.",Active
RISK-8c13ada1,SUP-45b5a699,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-45b5a699 is 0.,Conduct regular financial health assessments and diversify supply chain to reduce dependence on any single supplier.,Active
RISK-ca57f59f,SUP-45b5a699,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-45b5a699 is 0.,Diversify supplier base to reduce spend concentration risk.,Active
RISK-98193923,SUP-dcbd1a20,Country Risk,15.0,Country Risk for supplier SUP-dcbd1a20 is 15.,Conduct regular reviews of the supplier's local compliance practices and establish additional oversight mechanisms to mitigate potential risks arising from country-specific regulations.,Active
RISK-8887fa44,SUP-dcbd1a20,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-dcbd1a20 is 0.,Diversify suppliers to reduce dependency on any single vendor.,Active
RISK-7cb6b2e2,SUP-dcbd1a20,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-dcbd1a20 is 10.,Conduct quarterly financial health assessments and diversify supplier base to mitigate high financial health risk.,Active
RISK-c2e837cf,SUP-dcbd1a20,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-dcbd1a20 is 0.,Implement real-time spend monitoring to identify potential concentration risks promptly.,Active
RISK-44e51b4c,SUP-8fd30ac0,Country Risk,0.0,Country Risk for supplier SUP-8fd30ac0 is 0.,Conduct regular political stability assessments in the country to ensure continued business operations.,Active
RISK-b55c1525,SUP-8fd30ac0,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-8fd30ac0 is 0.,Diversify suppliers to reduce reliance on a single source.,Active
RISK-92a56e0f,SUP-8fd30ac0,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-8fd30ac0 is 0.,Conduct quarterly financial health assessments and diversify suppliers to reduce dependency on any single provider.,Active
RISK-94276b8b,SUP-8fd30ac0,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-8fd30ac0 is 0.,Diversify procurement sources to reduce spend concentration risk by implementing a policy requiring at least three independent suppliers for critical components.,Active
RISK-43896850,SUP-64d15cfb,Country Risk,0.0,Country Risk for supplier SUP-64d15cfb is 0.,Enhance due diligence on local regulatory environments and political stability to ensure business continuity in the country.,Active
RISK-c9839762,SUP-64d15cfb,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-64d15cfb is 0.,Diversify supply chain to reduce dependency on single suppliers.,Active
RISK-3172557e,SUP-64d15cfb,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-64d15cfb is 10.,Enhance financial due diligence processes to assess the supplier's creditworthiness and liquidity position before entering into contracts.,Active
RISK-f980f92c,SUP-64d15cfb,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-64d15cfb is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-cc144401,SUP-676bb818,Country Risk,15.0,Country Risk for supplier SUP-676bb818 is 15.,Conduct thorough due diligence on suppliers in high-risk countries to ensure compliance with local regulations.,Active
RISK-5fd0db12,SUP-676bb818,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-676bb818 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-d47a8793,SUP-676bb818,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-676bb818 is 0.,"Conduct quarterly financial health assessments to monitor the supplier's liquidity, solvency, and profitability.",Active
RISK-953ec9a8,SUP-676bb818,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-676bb818 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-aa531035,SUP-a01c2e58,Country Risk,0.0,Country Risk for supplier SUP-a01c2e58 is 0.,Conduct regular political stability assessments in the supplier's country to ensure business operations remain secure.,Active
RISK-24f5f5ad,SUP-a01c2e58,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-a01c2e58 is 0.,Develop a contingency plan.,Active
RISK-13a422cb,SUP-a01c2e58,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-a01c2e58 is 0.,Monitor financial health indicators monthly and initiate credit checks on new suppliers to ensure they maintain strong cash flow.,Active
RISK-c68d923d,SUP-a01c2e58,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-a01c2e58 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-0b444869,SUP-4cfb6617,Country Risk,15.0,Country Risk for supplier SUP-4cfb6617 is 15.,Conduct regular country risk assessments and implement diversified supply chains to mitigate risks associated with high country risk scores.,Active
RISK-92d1a76b,SUP-4cfb6617,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4cfb6617 is 0.,Diversify suppliers to reduce reliance on single sources.,Active
RISK-ac4f9b0d,SUP-4cfb6617,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-4cfb6617 is 0.,Conduct quarterly financial health assessments and diversify suppliers to mitigate financial health risks.,Active
RISK-f10fb621,SUP-4cfb6617,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4cfb6617 is 0.,Implement quarterly spend audits to identify concentration risks and reduce exposure by diversifying suppliers.,Active
RISK-a86b04a5,SUP-6ef283b5,Country Risk,15.0,Country Risk for supplier SUP-6ef283b5 is 15.,Conduct thorough due diligence on suppliers based in countries with high security risks to ensure compliance with international standards and regulations.,Active
RISK-ea90e5ab,SUP-6ef283b5,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6ef283b5 is 0.,Diversify supplier base to reduce dependency on single sources and enhance supply chain resilience.,Active
RISK-239cb646,SUP-6ef283b5,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-6ef283b5 is 0.,Enhance financial health assessment by conducting regular audits and monitoring cash flow trends to promptly identify potential issues.,Active
RISK-2eaf9681,SUP-6ef283b5,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6ef283b5 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-cbe21242,SUP-75e6d85d,Country Risk,15.0,Country Risk for supplier SUP-75e6d85d is 15.,Implement diversified supply chain strategies to reduce dependency on high-risk countries.,Active
RISK-838729da,SUP-75e6d85d,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-75e6d85d is 0.,Develop a contingency plan.,Active
RISK-85ffcaca,SUP-75e6d85d,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-75e6d85d is 0.,Conduct quarterly financial health reviews and diversify suppliers to minimize risks associated with poor financial stability.,Active
RISK-ee52ccf5,SUP-75e6d85d,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-75e6d85d is 0.,Implement regular spend analysis to monitor concentration levels across suppliers and ensure they remain below the defined threshold.,Active
RISK-3186fe76,SUP-92375a7c,Country Risk,15.0,Country Risk for supplier SUP-92375a7c is 15.,Conduct thorough due diligence on suppliers in high-risk countries to ensure compliance with international regulations and ethical standards.,Active
RISK-d03ba48e,SUP-92375a7c,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-92375a7c is 0.,Diversify the procurement process to include multiple suppliers as an immediate contingency.,Active
RISK-57db1b85,SUP-92375a7c,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-92375a7c is 0.,Conduct quarterly financial health assessments to monitor cash flow and solvency ratios.,Active
RISK-af4f25e2,SUP-92375a7c,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-92375a7c is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-e1e9f56a,SUP-7cc049b7,Country Risk,15.0,Country Risk for supplier SUP-7cc049b7 is 15.,"Conduct thorough due diligence on the supplier's operations in the high-risk country (score: 15) to ensure compliance with international regulations, implement enhanced monitoring systems, and develop contingency plans for potential disruptions.",Active
RISK-cae78f4f,SUP-7cc049b7,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-7cc049b7 is 0.,Develop a contingency plan.,Active
RISK-ef0d7704,SUP-7cc049b7,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-7cc049b7 is 10.,Conduct thorough financial health assessments and diversify supply chain to reduce dependency on high-risk suppliers.,Active
RISK-f8d2ca04,SUP-7cc049b7,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-7cc049b7 is 0.,Implement robust spend monitoring to promptly identify concentration risks in high-risk suppliers and enhance financial controls.,Active
RISK-525ff5cc,SUP-42c93ef1,Country Risk,0.0,Country Risk for supplier SUP-42c93ef1 is 0.,Enhance local compliance monitoring to mitigate country risk.,Active
RISK-8b8c2963,SUP-42c93ef1,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-42c93ef1 is 0.,Diversify supply chain to include multiple suppliers to reduce reliance on a single source.,Active
RISK-616cf93b,SUP-42c93ef1,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-42c93ef1 is 0.,Conduct quarterly financial health assessments to ensure the supplier remains solvent and on track.,Active
RISK-9f9b2c88,SUP-42c93ef1,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-42c93ef1 is 0.,Diversify spending across multiple suppliers to reduce concentration risk.,Active
RISK-6e402526,SUP-b90757f3,Country Risk,0.0,Country Risk for supplier SUP-b90757f3 is 0.,Conduct regular audits of the supplier's operations in the country to ensure compliance with international standards and regulations.,Active
RISK-b4ab930c,SUP-b90757f3,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b90757f3 is 0.,Diversify suppliers to reduce dependency on single sourcing.,Active
RISK-4a370edb,SUP-b90757f3,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-b90757f3 is 25.,Conduct quarterly financial health assessments and diversify supply chain to reduce dependence on high-risk suppliers.,Active
RISK-0c2514c9,SUP-b90757f3,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b90757f3 is 0.,Increase spend concentration limits to less than 20% across all suppliers.,Active
RISK-8ba0c6cf,SUP-bc3e65a0,Country Risk,30.0,Country Risk for supplier SUP-bc3e65a0 is 30.,Conduct regular political stability assessments in the supplier's country to ensure business continuity.,Active
RISK-c918a159,SUP-bc3e65a0,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-bc3e65a0 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-059edc47,SUP-bc3e65a0,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-bc3e65a0 is 0.,Conduct quarterly financial health assessments to ensure the supplier's solvency remains above industry benchmarks.,Active
RISK-8a7ce185,SUP-bc3e65a0,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-bc3e65a0 is 0.,Implement diversified sourcing strategy to reduce spend concentration risk.,Active
RISK-4f2fb32d,SUP-6aee66bd,Country Risk,15.0,Country Risk for supplier SUP-6aee66bd is 15.,Conduct thorough due diligence on the supplier's operations in the high-risk country to ensure compliance with local regulations and ethical standards.,Active
RISK-bbe0b080,SUP-6aee66bd,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6aee66bd is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-e70df00c,SUP-6aee66bd,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-6aee66bd is 0.,Regularly review financial health metrics to ensure the supplier remains solvent and financially stable.,Active
RISK-40c72c28,SUP-6aee66bd,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6aee66bd is 0.,Diversify spend across multiple suppliers to reduce concentration risk.,Active
RISK-7dbe9d0b,SUP-8d4ce036,Country Risk,0.0,Country Risk for supplier SUP-8d4ce036 is 0.,Conduct thorough market research to assess local economic stability and regulatory environments before engaging suppliers in affected countries.,Active
RISK-556e5ef3,SUP-8d4ce036,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-8d4ce036 is 0.,Develop a contingency plan.,Active
RISK-de773921,SUP-8d4ce036,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-8d4ce036 is 10.,Enhance financial health assessment by requiring quarterly audits from independent auditors to ensure ongoing solvency.,Active
RISK-44d076c6,SUP-8d4ce036,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-8d4ce036 is 0.,Implement diversified supplier base to reduce concentration risk.,Active
RISK-4ddf5df0,SUP-213e87fa,Country Risk,0.0,Country Risk for supplier SUP-213e87fa is 0.,Increase diversification by establishing new supply channels in lower-risk countries.,Active
RISK-1d08a897,SUP-213e87fa,Single Sourcing Risk,40.0,Single Sourcing Risk for supplier SUP-213e87fa is 40.0.,"Diversify suppliers to reduce dependency on a single source, thereby minimizing the impact of potential disruptions.",Active
RISK-0c644de0,SUP-213e87fa,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-213e87fa is 0.,"Conduct quarterly financial health reviews to monitor cash flow, creditworthiness, and debt levels to ensure timely identification of potential risks.",Active
RISK-3db0785c,SUP-213e87fa,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-213e87fa is 0.,Develop a contingency plan.,Active
RISK-97243971,SUP-fe1083da,Country Risk,0.0,Country Risk for supplier SUP-fe1083da is 0.,Conduct regular assessments to monitor and mitigate country-specific risks associated with suppliers in high-risk regions.,Active
RISK-51fc1162,SUP-fe1083da,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fe1083da is 0.,Develop a contingency plan.,Active
RISK-79d97ce4,SUP-fe1083da,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-fe1083da is 0.,Maintain regular financial health assessments and diversify suppliers to minimize exposure.,Active
RISK-ab14a4aa,SUP-fe1083da,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fe1083da is 0.,Implement tiered procurement policies to spread spend across multiple suppliers and diversify vendor base.,Active
RISK-eed75805,SUP-89b1bf10,Country Risk,0.0,Country Risk for supplier SUP-89b1bf10 is 0.,Conduct regular geopolitical assessments and diversify supply chains to mitigate potential country risks.,Active
RISK-d53b188f,SUP-89b1bf10,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-89b1bf10 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-ede142a4,SUP-89b1bf10,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-89b1bf10 is 10.,Conduct quarterly financial health assessments on suppliers to ensure they maintain strong credit ratings and stable cash flow.,Active
RISK-81994739,SUP-89b1bf10,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-89b1bf10 is 0.,Diversify suppliers to reduce concentration in spend.,Active
RISK-c26c8c97,SUP-eb0f876e,Country Risk,15.0,Country Risk for supplier SUP-eb0f876e is 15.,"Conduct thorough due diligence on suppliers in high-risk countries by reviewing local regulations, political stability scores, and implementing strict compliance checks before engaging in business transactions.",Active
RISK-2dc04cba,SUP-eb0f876e,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-eb0f876e is 0.,Develop a contingency plan.,Active
RISK-aed9aa3d,SUP-eb0f876e,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-eb0f876e is 0.,Conduct quarterly financial health assessments and maintain diversified vendor relationships to ensure continued stability.,Active
RISK-e025d239,SUP-eb0f876e,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-eb0f876e is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-54b7e6b4,SUP-a7e36462,Country Risk,15.0,Country Risk for supplier SUP-a7e36462 is 15.,Enhance due diligence by conducting regular security audits and establishing local partnerships to mitigate country risk score of 15.,Active
RISK-95327e4e,SUP-a7e36462,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-a7e36462 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-d450e032,SUP-a7e36462,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-a7e36462 is 0.,Conduct quarterly financial health assessments to identify potential issues early.,Active
RISK-7c017909,SUP-a7e36462,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-a7e36462 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-a489a8dc,SUP-fb7f53c3,Country Risk,15.0,Country Risk for supplier SUP-fb7f53c3 is 15.,Conduct thorough due diligence on the country's regulatory environment and enforce strict compliance policies to mitigate high country risk scores.,Active
RISK-b10470b4,SUP-fb7f53c3,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fb7f53c3 is 0.,Develop a contingency plan.,Active
RISK-040b575b,SUP-fb7f53c3,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-fb7f53c3 is 10.,Conduct quarterly financial health assessments to ensure the supplier maintains stable cash flow and debt levels.,Active
RISK-153d7f39,SUP-fb7f53c3,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fb7f53c3 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-b6b82fb4,SUP-c59875d5,Country Risk,15.0,Country Risk for supplier SUP-c59875d5 is 15.,Conduct thorough due diligence on suppliers operating in high-risk countries and establish local compliance teams to monitor and manage country-specific risks effectively.,Active
RISK-aceb9cd4,SUP-c59875d5,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-c59875d5 is 0.,Diversify the supply base to reduce dependency on any single source.,Active
RISK-8dba8274,SUP-c59875d5,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-c59875d5 is 25.,Conduct regular financial audits and diversify funding sources to reduce dependence on any single provider.,Active
RISK-1ef0e49e,SUP-c59875d5,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-c59875d5 is 0.,Implement tiered spend limits and regular budget reconciliation to reduce concentration risks.,Active
RISK-89151150,SUP-c1b331e5,Country Risk,15.0,Country Risk for supplier SUP-c1b331e5 is 15.,"Enhance local partnership, conduct regular political stability assessments, and implement robust compliance monitoring to mitigate country risk.",Active
RISK-dc5f5be3,SUP-c1b331e5,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-c1b331e5 is 0.,Develop a contingency plan.,Active
RISK-a6492e36,SUP-c1b331e5,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-c1b331e5 is 25.,Conduct quarterly financial health reviews and diversify supply contracts to reduce reliance on any single vendor.,Active
RISK-af286edc,SUP-c1b331e5,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-c1b331e5 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-94b9d91a,SUP-e23d11b5,Country Risk,0.0,Country Risk for supplier SUP-e23d11b5 is 0.,Conduct regular reviews and diversify suppliers to minimize the impact of country risks.,Active
RISK-e2698236,SUP-e23d11b5,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-e23d11b5 is 0.,Diversify suppliers to reduce reliance on single sources.,Active
RISK-99314ee2,SUP-e23d11b5,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-e23d11b5 is 25.,Conduct quarterly financial health assessments and diversify suppliers to reduce reliance on any single provider.,Active
RISK-d766b620,SUP-e23d11b5,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-e23d11b5 is 0.,Implement tiered contracts and diversify suppliers to reduce spend concentration risk.,Active
RISK-01c054ec,SUP-fcf83da1,Country Risk,0.0,Country Risk for supplier SUP-fcf83da1 is 0.,Implement diversified sourcing across multiple countries to reduce dependency on the high-risk country.,Active
RISK-f72a1ce4,SUP-fcf83da1,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fcf83da1 is 0.,Diversify suppliers to reduce dependency on single sourcing.,Active
RISK-d62e05ee,SUP-fcf83da1,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-fcf83da1 is 0.,Enhance financial health assessments and diversify supplier base to reduce dependency on any single vendor.,Active
RISK-0d67f311,SUP-fcf83da1,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fcf83da1 is 0.,Develop a contingency plan.,Active
RISK-b39414c2,SUP-7b15f87e,Country Risk,15.0,Country Risk for supplier SUP-7b15f87e is 15.,Conduct regular compliance audits and diversify supply chain to reduce exposure from country risks.,Active
RISK-795eaa55,SUP-7b15f87e,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-7b15f87e is 0.,Develop a contingency plan.,Active
RISK-becc498b,SUP-7b15f87e,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-7b15f87e is 0.,Enhance financial reporting and credit checks to ensure supplier's strong financial health before entering into contracts.,Active
RISK-18a23042,SUP-7b15f87e,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-7b15f87e is 0.,Enhance spend concentration risk monitoring by implementing quarterly variance analysis and increasing approval thresholds for high-value purchases.,Active
RISK-bfab41fb,SUP-b4c90243,Country Risk,0.0,Country Risk for supplier SUP-b4c90243 is 0.,Enhance regional compliance monitoring to prevent future country risks.,Active
RISK-fd902980,SUP-b4c90243,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b4c90243 is 0.,Diversify suppliers to reduce reliance on single sources.,Active
RISK-105fbb60,SUP-b4c90243,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-b4c90243 is 10.,Conduct thorough financial health assessments of the supplier to ensure their solvency and ability to meet contractual obligations.,Active
RISK-ddae4b4d,SUP-b4c90243,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b4c90243 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-2e4afa5b,SUP-41b783bf,Country Risk,15.0,Country Risk for supplier SUP-41b783bf is 15.,Conduct regular audits on suppliers operating in high-risk countries (score 15) to ensure compliance with international standards and ethical business practices.,Active
RISK-476c2607,SUP-41b783bf,Single Sourcing Risk,25.0,Single Sourcing Risk for supplier SUP-41b783bf is 25.0.,Diversify the procurement portfolio by sourcing from multiple suppliers to reduce dependency on any single provider.,Active
RISK-c87db5da,SUP-41b783bf,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-41b783bf is 25.,Conduct quarterly financial health assessments on the supplier to monitor changes in solvency ratios and ensure compliance with payment terms.,Active
RISK-b3880ebd,SUP-41b783bf,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-41b783bf is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-4a9a67bb,SUP-ad78e8e7,Country Risk,15.0,Country Risk for supplier SUP-ad78e8e7 is 15.,"Conduct thorough due diligence on suppliers in high-risk countries, establish local compliance teams, implement regular security audits, and ensure data protection policies are in place.",Active
